Date,Outages,Outage_Color,Incidents,Service
28 Dec 2023,[],#10a37f,[],labs
29 Dec 2023,[],#10a37f,[],labs
30 Dec 2023,[],#10a37f,[],labs
31 Dec 2023,[],#10a37f,[],labs
1 Jan 2024,[],#10a37f,[],labs
2 Jan 2024,[],#10a37f,[],labs
3 Jan 2024,[],#10a37f,[],labs
4 Jan 2024,[],#10a37f,[],labs
5 Jan 2024,[],#10a37f,[],labs
6 Jan 2024,[],#10a37f,[],labs
7 Jan 2024,[],#10a37f,[],labs
8 Jan 2024,[],#10a37f,[],labs
9 Jan 2024,[],#10a37f,[],labs
10 Jan 2024,[],#10a37f,[],labs
11 Jan 2024,[],#10a37f,[],labs
12 Jan 2024,[],#10a37f,[],labs
13 Jan 2024,[],#10a37f,[],labs
14 Jan 2024,[],#10a37f,[],labs
15 Jan 2024,[],#10a37f,[],labs
16 Jan 2024,[],#10a37f,[],labs
17 Jan 2024,[],#10a37f,[],labs
18 Jan 2024,[],#10a37f,[],labs
19 Jan 2024,[],#10a37f,[],labs
20 Jan 2024,[],#10a37f,[],labs
21 Jan 2024,[],#10a37f,[],labs
22 Jan 2024,[],#10a37f,[],labs
23 Jan 2024,[],#10a37f,[],labs
24 Jan 2024,[],#10a37f,[],labs
25 Jan 2024,[],#10a37f,[],labs
26 Jan 2024,[],#10a37f,[],labs
27 Jan 2024,[],#10a37f,[],labs
28 Jan 2024,[],#10a37f,[],labs
29 Jan 2024,[],#10a37f,[],labs
30 Jan 2024,[],#10a37f,[],labs
31 Jan 2024,[],#10a37f,[],labs
1 Feb 2024,[],#10a37f,[],labs
2 Feb 2024,[],#10a37f,[],labs
3 Feb 2024,[],#10a37f,[],labs
4 Feb 2024,[],#10a37f,[],labs
5 Feb 2024,[],#10a37f,[],labs
6 Feb 2024,[],#10a37f,[],labs
7 Feb 2024,[],#10a37f,[],labs
8 Feb 2024,[],#10a37f,[],labs
9 Feb 2024,[],#10a37f,[],labs
10 Feb 2024,[],#10a37f,[],labs
11 Feb 2024,[],#10a37f,[],labs
12 Feb 2024,[],#10a37f,[],labs
13 Feb 2024,[],#10a37f,[],labs
14 Feb 2024,[],#10a37f,[],labs
15 Feb 2024,[],#10a37f,[],labs
16 Feb 2024,[],#10a37f,[],labs
17 Feb 2024,[],#10a37f,[],labs
18 Feb 2024,[],#10a37f,[],labs
19 Feb 2024,[],#10a37f,[],labs
20 Feb 2024,[],#10a37f,[],labs
21 Feb 2024,[],#10a37f,[],labs
22 Feb 2024,[],#10a37f,[],labs
