Date,Outages,Outage_Color,Incidents,Service
27 May 2024,[],#10a37f,[],playground
28 May 2024,[],#10a37f,[],playground
29 May 2024,[],#10a37f,[],playground
30 May 2024,[],#10a37f,[],playground
31 May 2024,[],#10a37f,[],playground
1 Dec 2023,[],#10a37f,[],playground
2 Dec 2023,[],#10a37f,[],playground
3 Dec 2023,[],#10a37f,[],playground
4 Dec 2023,[],#10a37f,[],playground
5 Dec 2023,[],#10a37f,[],playground
6 Dec 2023,[],#10a37f,[],playground
7 Dec 2023,[],#10a37f,[],playground
8 Dec 2023,[],#10a37f,[],playground
9 Dec 2023,[],#10a37f,[],playground
10 Dec 2023,[],#10a37f,[],playground
11 Dec 2023,[],#10a37f,[],playground
12 Dec 2023,[],#10a37f,[],playground
13 Dec 2023,[],#10a37f,[],playground
14 Dec 2023,[],#10a37f,[],playground
15 Dec 2023,[],#10a37f,[],playground
16 Dec 2023,[],#10a37f,[],playground
17 Dec 2023,[],#10a37f,[],playground
18 Dec 2023,[],#10a37f,[],playground
19 Dec 2023,[],#10a37f,[],playground
20 Dec 2023,[],#10a37f,[],playground
21 Dec 2023,[],#10a37f,[],playground
22 Dec 2023,[],#10a37f,[],playground
23 Dec 2023,[],#10a37f,[],playground
24 Dec 2023,[],#10a37f,[],playground
25 Dec 2023,[],#10a37f,[],playground
26 Dec 2023,[],#10a37f,[],playground
27 Dec 2023,[],#10a37f,[],playground
28 Dec 2023,[],#10a37f,[],playground
29 Dec 2023,[],#10a37f,[],playground
30 Dec 2023,[],#10a37f,[],playground
31 Dec 2023,[],#10a37f,[],playground
1 Jan 2024,[],#10a37f,[],playground
2 Jan 2024,[],#10a37f,[],playground
3 Jan 2024,[],#10a37f,[],playground
4 Jan 2024,[],#10a37f,[],playground
5 Jan 2024,[],#10a37f,[],playground
6 Jan 2024,[],#10a37f,[],playground
7 Jan 2024,[],#10a37f,[],playground
8 Jan 2024,[],#10a37f,[],playground
9 Jan 2024,[],#10a37f,[],playground
10 Jan 2024,[],#10a37f,[],playground
11 Jan 2024,[],#10a37f,[],playground
12 Jan 2024,[],#10a37f,[],playground
13 Jan 2024,[],#10a37f,[],playground
14 Jan 2024,[],#10a37f,[],playground
15 Jan 2024,[],#10a37f,[],playground
16 Jan 2024,[],#10a37f,[],playground
17 Jan 2024,[],#10a37f,[],playground
18 Jan 2024,[],#10a37f,[],playground
19 Jan 2024,[],#10a37f,[],playground
20 Jan 2024,[],#10a37f,[],playground
21 Jan 2024,[],#10a37f,[],playground
22 Jan 2024,[],#10a37f,[],playground
23 Jan 2024,[],#10a37f,[],playground
24 Jan 2024,[],#10a37f,[],playground
25 Jan 2024,[],#10a37f,[],playground
26 Jan 2024,[],#10a37f,[],playground
27 Jan 2024,[],#10a37f,[],playground
28 Jan 2024,[],#10a37f,[],playground
29 Jan 2024,[],#10a37f,[],playground
30 Jan 2024,[],#10a37f,[],playground
31 Jan 2024,[],#10a37f,[],playground
1 Feb 2024,[],#10a37f,[],playground
2 Feb 2024,[],#10a37f,[],playground
3 Feb 2024,[],#10a37f,[],playground
4 Feb 2024,[],#10a37f,[],playground
5 Feb 2024,[],#10a37f,[],playground
6 Feb 2024,[],#10a37f,[],playground
7 Feb 2024,[],#10a37f,[],playground
8 Feb 2024,[],#10a37f,[],playground
9 Feb 2024,[],#10a37f,[],playground
10 Feb 2024,[],#10a37f,[],playground
11 Feb 2024,[],#10a37f,[],playground
12 Feb 2024,[],#10a37f,[],playground
13 Feb 2024,[],#10a37f,[],playground
14 Feb 2024,[],#10a37f,[],playground
15 Feb 2024,[],#10a37f,[],playground
16 Feb 2024,[],#10a37f,[],playground
17 Feb 2024,[],#10a37f,[],playground
18 Feb 2024,[],#10a37f,[],playground
19 Feb 2024,[],#10a37f,[],playground
20 Feb 2024,[],#10a37f,[],playground
21 Feb 2024,[],#10a37f,[],playground
22 Feb 2024,[],#10a37f,[],playground
23 Feb 2024,[],#10a37f,[],playground
24 Feb 2024,[],#10a37f,[],playground
25 Feb 2024,[],#10a37f,[],playground
26 Feb 2024,[],#10a37f,[],playground
27 Feb 2024,[],#10a37f,[],playground
28 Feb 2024,"[{""Outage_Type"": ""Partial outage"", ""Downtime (min)"": 102}]",#ea7711,"[{""Incident_Title"": ""Increased latency and errors affecting both ChatGPT and APIs"", ""Incident_Link"": ""https://status.openai.com/incidents/zqfdnfbd0nqv""}]",playground
29 Feb 2024,[],#10a37f,[],playground
1 Sep 2023,[],#10a37f,[],playground
2 Sep 2023,[],#10a37f,[],playground
3 Sep 2023,[],#10a37f,[],playground
4 Sep 2023,[],#10a37f,[],playground
5 Sep 2023,[],#10a37f,[],playground
6 Sep 2023,[],#10a37f,[],playground
7 Sep 2023,[],#10a37f,[],playground
8 Sep 2023,[],#10a37f,[],playground
9 Sep 2023,[],#10a37f,[],playground
10 Sep 2023,[],#10a37f,[],playground
11 Sep 2023,[],#10a37f,[],playground
12 Sep 2023,[],#10a37f,[],playground
13 Sep 2023,[],#10a37f,[],playground
14 Sep 2023,[],#10a37f,[],playground
15 Sep 2023,[],#10a37f,[],playground
16 Sep 2023,[],#10a37f,[],playground
17 Sep 2023,[],#10a37f,[],playground
18 Sep 2023,[],#10a37f,[],playground
19 Sep 2023,[],#10a37f,[],playground
20 Sep 2023,[],#10a37f,[],playground
21 Sep 2023,[],#10a37f,[],playground
22 Sep 2023,[],#10a37f,[],playground
23 Sep 2023,[],#10a37f,[],playground
24 Sep 2023,[],#10a37f,[],playground
25 Sep 2023,[],#10a37f,[],playground
26 Sep 2023,[],#10a37f,[],playground
27 Sep 2023,[],#10a37f,[],playground
28 Sep 2023,[],#10a37f,[],playground
29 Sep 2023,[],#10a37f,[],playground
30 Sep 2023,[],#10a37f,[],playground
