Date,Outages,Outage_Color,Incidents,Service
21 May 2024,[],#2fcc66,[],character.ai
22 May 2024,[],#2fcc66,[],character.ai
23 May 2024,[],#2fcc66,[],character.ai
24 May 2024,[],#2fcc66,[],character.ai
25 May 2024,[],#2fcc66,[],character.ai
26 May 2024,[],#2fcc66,[],character.ai
27 May 2024,[],#2fcc66,[],character.ai
28 May 2024,"[{""Outage_Type"": ""Major outage"", ""Downtime (min)"": 70}]",#e74c3c,"[{""Incident_Title"": ""Major outage"", ""Incident_Link"": ""https://status.character.ai/incidents/nxmjjz11m0rm""}]",character.ai
29 May 2024,[],#2fcc66,[],character.ai
30 May 2024,[],#2fcc66,[],character.ai
31 May 2024,[],#2fcc66,[],character.ai
1 Dec 2023,[],#2fcc66,[],character.ai
2 Dec 2023,[],#2fcc66,[],character.ai
3 Dec 2023,[],#2fcc66,[],character.ai
4 Dec 2023,[],#2fcc66,[],character.ai
5 Dec 2023,[],#2fcc66,[],character.ai
6 Dec 2023,[],#2fcc66,[],character.ai
7 Dec 2023,[],#2fcc66,[],character.ai
8 Dec 2023,"[{""Outage_Type"": ""Partial outage"", ""Downtime (min)"": 46}]",#d5c51c,"[{""Incident_Title"": ""Site Event"", ""Incident_Link"": ""https://status.character.ai/incidents/01vtrvk90lzc""}]",character.ai
9 Dec 2023,"[{""Outage_Type"": ""Major outage"", ""Downtime (min)"": 9}, {""Outage_Type"": ""Partial outage"", ""Downtime (min)"": 3}]",#c1c624,"[{""Incident_Title"": ""Site down"", ""Incident_Link"": ""https://status.character.ai/incidents/fm7kv47p396k""}]",character.ai
10 Dec 2023,[],#2fcc66,[],character.ai
11 Dec 2023,[],#2fcc66,[],character.ai
12 Dec 2023,[],#2fcc66,[],character.ai
13 Dec 2023,[],#2fcc66,[],character.ai
14 Dec 2023,[],#2fcc66,[],character.ai
15 Dec 2023,[],#2fcc66,[],character.ai
16 Dec 2023,[],#2fcc66,[],character.ai
17 Dec 2023,[],#2fcc66,[],character.ai
18 Dec 2023,"[{""Outage_Type"": ""Major outage"", ""Downtime (min)"": 156}, {""Outage_Type"": ""Partial outage"", ""Downtime (min)"": 184}]",#e74c3c,"[{""Incident_Title"": ""Outage"", ""Incident_Link"": ""https://status.character.ai/incidents/zppcsvf3sf9j""}, {""Incident_Title"": ""Partially Degraded Service"", ""Incident_Link"": ""https://status.character.ai/incidents/h3vtgftrvl61""}]",character.ai
19 Dec 2023,"[{""Outage_Type"": ""Partial outage"", ""Downtime (min)"": 53}]",#dec517,"[{""Incident_Title"": ""Outage"", ""Incident_Link"": ""https://status.character.ai/incidents/zppcsvf3sf9j""}]",character.ai
20 Dec 2023,[],#2fcc66,[],character.ai
21 Dec 2023,[],#2fcc66,[],character.ai
22 Dec 2023,[],#2fcc66,[],character.ai
23 Dec 2023,[],#2fcc66,[],character.ai
24 Dec 2023,[],#2fcc66,[],character.ai
25 Dec 2023,[],#2fcc66,[],character.ai
26 Dec 2023,[],#2fcc66,[],character.ai
27 Dec 2023,[],#2fcc66,[],character.ai
28 Dec 2023,[],#2fcc66,[],character.ai
29 Dec 2023,[],#2fcc66,[],character.ai
30 Dec 2023,[],#2fcc66,[],character.ai
31 Dec 2023,[],#2fcc66,[],character.ai
1 Jan 2024,[],#2fcc66,[],character.ai
2 Jan 2024,[],#2fcc66,[],character.ai
3 Jan 2024,[],#2fcc66,[],character.ai
4 Jan 2024,[],#2fcc66,"[{""Incident_Title"": ""Avatar image partial outage"", ""Incident_Link"": ""https://status.character.ai/incidents/m9njf9jw164k""}]",character.ai
5 Jan 2024,[],#2fcc66,[],character.ai
6 Jan 2024,"[{""Outage_Type"": ""Major outage"", ""Downtime (min)"": 27}]",#eb9b1a,"[{""Incident_Title"": ""Site down"", ""Incident_Link"": ""https://status.character.ai/incidents/d2s6z2yxhyb7""}]",character.ai
7 Jan 2024,[],#2fcc66,[],character.ai
8 Jan 2024,[],#2fcc66,[],character.ai
9 Jan 2024,[],#2fcc66,[],character.ai
10 Jan 2024,[],#2fcc66,[],character.ai
11 Jan 2024,[],#2fcc66,[],character.ai
12 Jan 2024,[],#2fcc66,[],character.ai
13 Jan 2024,[],#2fcc66,[],character.ai
14 Jan 2024,[],#2fcc66,[],character.ai
15 Jan 2024,[],#2fcc66,[],character.ai
16 Jan 2024,[],#2fcc66,[],character.ai
17 Jan 2024,[],#2fcc66,[],character.ai
18 Jan 2024,[],#2fcc66,[],character.ai
19 Jan 2024,[],#2fcc66,[],character.ai
20 Jan 2024,[],#2fcc66,[],character.ai
21 Jan 2024,[],#2fcc66,[],character.ai
22 Jan 2024,[],#2fcc66,[],character.ai
23 Jan 2024,[],#2fcc66,[],character.ai
24 Jan 2024,[],#2fcc66,[],character.ai
25 Jan 2024,[],#2fcc66,[],character.ai
26 Jan 2024,[],#2fcc66,[],character.ai
27 Jan 2024,"[{""Outage_Type"": ""Partial outage"", ""Downtime (min)"": 363}]",#e74c3c,"[{""Incident_Title"": ""Unreliable search"", ""Incident_Link"": ""https://status.character.ai/incidents/pz385w9h3vx7""}]",character.ai
28 Jan 2024,"[{""Outage_Type"": ""Partial outage"", ""Downtime (min)"": 580}]",#e74c3c,"[{""Incident_Title"": ""Unreliable search"", ""Incident_Link"": ""https://status.character.ai/incidents/pz385w9h3vx7""}]",character.ai
29 Jan 2024,[],#2fcc66,[],character.ai
30 Jan 2024,[],#2fcc66,[],character.ai
31 Jan 2024,[],#2fcc66,[],character.ai
1 Feb 2024,[],#2fcc66,[],character.ai
2 Feb 2024,[],#2fcc66,[],character.ai
3 Feb 2024,[],#2fcc66,[],character.ai
4 Feb 2024,[],#2fcc66,[],character.ai
5 Feb 2024,[],#2fcc66,[],character.ai
6 Feb 2024,[],#2fcc66,[],character.ai
7 Feb 2024,[],#2fcc66,[],character.ai
8 Feb 2024,[],#2fcc66,[],character.ai
9 Feb 2024,[],#2fcc66,[],character.ai
10 Feb 2024,[],#2fcc66,[],character.ai
11 Feb 2024,[],#2fcc66,[],character.ai
12 Feb 2024,[],#2fcc66,[],character.ai
13 Feb 2024,[],#2fcc66,[],character.ai
14 Feb 2024,[],#2fcc66,[],character.ai
15 Feb 2024,[],#2fcc66,[],character.ai
16 Feb 2024,[],#2fcc66,[],character.ai
17 Feb 2024,[],#2fcc66,[],character.ai
18 Feb 2024,[],#2fcc66,[],character.ai
19 Feb 2024,[],#2fcc66,[],character.ai
20 Feb 2024,[],#2fcc66,[],character.ai
21 Feb 2024,[],#2fcc66,[],character.ai
22 Feb 2024,[],#2fcc66,[],character.ai
23 Feb 2024,[],#2fcc66,[],character.ai
24 Feb 2024,[],#2fcc66,[],character.ai
25 Feb 2024,[],#2fcc66,[],character.ai
26 Feb 2024,[],#2fcc66,[],character.ai
27 Feb 2024,[],#2fcc66,[],character.ai
28 Feb 2024,[],#2fcc66,[],character.ai
29 Feb 2024,[],#2fcc66,[],character.ai
19 Oct 2023,[],#2fcc66,[],character.ai
20 Oct 2023,[],#2fcc66,[],character.ai
21 Oct 2023,[],#2fcc66,[],character.ai
22 Oct 2023,[],#2fcc66,[],character.ai
23 Oct 2023,[],#2fcc66,[],character.ai
